shop_slug,shop_name,country_code,currency,shipping_cost_cents,free_shipping_threshold_cents,shipping_logic,shipping_note,confidence,source_url,source_url_2,verified_at,active
atthemovies,At The Movies Shop,NL,EUR,750,8900,threshold,"Nederland: €7,50 via DPD; gratis verzending vanaf €89.",verified,https://atthemoviesshop.com/nl/pages/shipping,,2026-08-22,true
bobsvinyl,Bob's Vinyl,NL,EUR,595,7500,threshold,"Gevalideerd | Gratis verzending v.a. €75,- / Gratis verzending v.a. € 75,- (NL, BE). Verzendkosten worden berekend bij checkout. | Tarief onder drempel niet gevonden; gratis verzending vanaf €75 voor NL/BE wel gevonden.",verified,https://bobsvinyl.nl/products/bobs-vinyl-cadeaubon,https://bobsvinyl.nl/,2026-07-05,true
dgmoutlet,DGM Outlet,NL,EUR,695,5000,threshold,"Single LP/order: if item price >= €50 then €0 else €6.95. | Bestellingen boven €50 gratis binnen Nederland; onder €50 vergoeding €6,95. België gratis vanaf €50; pakket €6,95. | Gevonden.",verified,https://www.dgmoutlet.nl/bestellen-bezorgen-afhalen/,https://www.dgmoutlet.nl/verzending-betaling/,2026-07-05,true
fiftiesstore,FiftiesStore,NL,EUR,695,7500,threshold,"For vinyl/normal package under 10kg: if item price >= €75 then €0 else €6.95. | Standaard verzendkosten pakketten onder 10kg €6,95. Gratis NL vanaf €75; België/Duitsland vanaf €99, mits standaard pakketpost. | Gevonden.",verified,https://www.fiftiesstore.nl/verzending,https://www.fiftiesstore.nl/kortingscode,2026-07-05,true
imusic,iMusic,NL,EUR,549,10000,threshold,"Use 'vanaf' cheapest available method as estimate: if item price >= €100 then €0 else €5,49 | UPS Standard/Budbee vanaf €8,99; gratis verzending naar België en Nederland vanaf €100 met goedkoopste verzendmethode. | Gevonden, maar tarief is vanaf-prijs en gekozen shipping-methode afhankelijk.",verified,https://imusic.nl/page/faq,https://imusic.nl/page/conditions,2026-07-05,true
musiconvinyl,Music On Vinyl,NL,EUR,750,6000,threshold,"If item price >= €60 then €0 else €7.50. | Netherlands €7,50 (Free Shipping from €60), DPD. Belgium same threshold. | Gevonden.",verified,https://www.musiconvinyl.com/pages/shipping,https://www.musiconvinyl.com/pages/faq,2026-07-05,true
myrecordstore,MyRecordStore / Sounds Tilburg,NL,EUR,650,,flat,"Shipping is always 6.5 EUR | Thuisbezorging/afhalen genoemd; eventuele verzendkosten worden weergegeven vóór betaling. BKS nieuws noemt event-specifiek €6,50 onder €100, maar niet algemeen toepassen. | Algemene voorwaarden gevonden, maar geen vaste algemene verzendkosten/threshold.",verified,https://myrecordstore.nl/bestellen,https://myrecordstore.nl/betalen,2026-07-05,true
northendhaarlem,North End Haarlem,NL,EUR,690,7900,threshold,"For vinyl/platen/overige NL: if item price >= €79 then €0 else €6.95. | Vinyl/platen/overige producten €6,95; vanaf €79 verzending gratis. Buitenland verschillende tarieven. | Gevonden.",verified,https://www.northendhaarlem.nl/c-4711050/versturen-shipping/,https://www.northendhaarlem.nl/,2026-07-05,true
platenzaak,Platenzaak,NL,EUR,695,,flat,"For LP/vinyl NL: add €6.95; no free-shipping threshold found. | CD/DVD/boeken/T-shirts/7 inch €3,95; overige producten zoals vinyl €6,95. Buitenland verschillende tarieven. | Gevonden voor tarief; threshold niet gevonden.",verified,https://www.platenzaak.nl/pages/bestelinformatie,https://www.platenzaak.nl/pages/faq,2026-07-05,true
platomania,Platomania,NL,EUR,595,7500,threshold,"For vinyl/books NL: if item price >= €75 then €0 else €5.95. | Vinyl en boeken €5,95; gratis verzending vanaf €75 binnen Nederland. | Gevonden.",verified,https://www.platomania.nl/verzendkosten,https://www.platomania.nl/service,2026-07-05,true
recordsonvinyl,Records on Vinyl,NL,EUR,695,7500,threshold,"If item price >= €75 then €0 else €6.95. | Nederland €0-€75 → €6,95; vanaf €75 gratis. Verzendkostenpagina noemt gratis naar NL en BE boven €75. | Gevonden.",verified,https://recordsonvinyl.nl/pages/faqs,https://recordsonvinyl.nl/pages/verzendkosten,2026-07-05,true
sounds,Sounds Delft / sounds.nl,NL,EUR,600,7500,unknown,Niet gebruiken voor totaalprijs tot primaire bron of checkout bevestigd is. | Derde partijen noemen gratis verzending vanaf €75/€79; geen primair tarief gevonden. | Primaire website door robots niet toegankelijk; alleen derde-partij/coupondata gevonden.,unknown,,,2026-07-05,false
soundshaarlem,Sounds Haarlem,NL,EUR,750,,flat,"Gevalideerd. Boven 20 KG 12,50 EUR | Verzendkosten worden berekend bij de checkout. | Productpagina zegt dat verzendkosten bij checkout worden berekend; geen tarief/threshold gevonden.",verified,https://soundshaarlem.nl/nl/products/billie-eilish-dont-smile-at-me-lp,https://soundshaarlem.nl/,2026-07-05,true
