source_shop,page,artist,title,format,url,ean,price_current,price_original,raw_name,description_snippet,scraped_at
dgmoutlet,1,,100 Years LP,LP,https://www.dgmoutlet.nl/100-years-lp/7320470210406,7320470210406,16.99,21.99,100 Years LP,LP (VINYL) 1 plaat november 2016 Tracklist Plaat 1. 100 YEARS - THE MEDICINE KNOWS MY NAME 2. 100 YEARS - BREATH OF SUMMER 3. 100 YEARS - TOO FAR FROM GOODNESS 4. 100 YEARS - ALL GREY 5. 100 YEARS - CALLING FOR DAYLIGHT 6. 100 YEARS - ALL THE FOOLS AND ME 7. 100 YEARS - CONCRETE EDEN,2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,7even Bridges,Breakthesilence,LP,https://www.dgmoutlet.nl/7even-bridges-breakthesilence-lp/8718456078918,8718456078918,23.99,34.99,7even Bridges - Breakthesilence (LP),"LPStandard Edition1 stuk(s)Introductie: 2019-04-12 Breakthesilence is het debuutalbum van 7even Bridges, uitgebracht als LP in 2018. Het album valt binnen het pop-rockgenre met duidelijke invloeden uit de progressieve rock. Het is een conceptalbum, waarin het verhaal van Erik centraal staat en het universele gevecht met herinneringen en de impact van trauma wordt verkend. De nummers vormen samen een samenhangend verhaal over vallen, opstaan en het zoeken naar hoop, waarbij de muzikale verhaallijn de luisteraar van begin tot eind begeleidt.Wat Breakthesilence onderscheidt, zijn de kenmerkende zevenstemmige vocale harmonieën die de diepgang en emotie van het album versterken. De harmonie is subtiel en doordacht gecomponeerd, en vormt het handelsmerk van de band. De productie van het album vond plaats in Sound Vision Studios in Arnhem, terwijl de mastering werd verzorgd in Abbey Road Studios. Breakthesilence behaalde een notering in de Nederlandse Album Top 100, waarbij de LP-variant zelfs bijzonder succesvol was in de vinyl top 33.Tracklist1. Ouverture - 7Even Bridges2. Keep Believing - 7Even Bridges3. Fear - 7Even Bridges4. Worst Enemy - 7Even Bridges5. Shelter - 7Even Bridges6. Father And Son - 7Even Bridges7. #Breakthesilence - 7Even Bridges8. Coming Home - 7Even Bridges9. Building Bridges - 7Even Bridges10. Closure? - 7Even Bridges",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,,A Tribute to Eric Clapton,LP,https://www.dgmoutlet.nl/a-tribute-to-eric-clapton-lp/889466257216,889466257216,25.95,44.99,A Tribute to Eric Clapton (LP),"LP Standard Edition 1 stuk(s) 22 juli 2022 Compilatie Productbeschrijving Tribute To Eric Clapton is een compilatie van 12 rock nummers uitgebracht als op 17 Jun 2022. Tribute To Eric Clapton bevat o.a. de nummers: “Cocaine - Kirk Fletcher & Brian Auger”, “I Feel Free - Arthur Brown, James Williamson & Rat Scabies”, “For Your Love - Mark Lindsay & Rick Nielsen”, “Tears In Heaven - Ana Popovic” en vele anderen. Tracklist 1. Various Artists - Cocaine 2. Various Artists - Lay Down Sally 3. Various Artists - I Feel Free 4. Various Artists - Sunshine of Your Love 5. Various Artists - Let It Rain 6. Various Artists - Wonderful Tonight 7. Various Artists - Layla 8. Various Artists - I Shot the Sheriff 9. Various Artists - For Your Love 10. Various Artists - Tears in Heaven 11. Various Artists - White Room 12. Various Artists - Can't Find My Way Home",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Aaron Frazer,Into The Blue,LP - Coloured Vinyl,https://www.dgmoutlet.nl/aaron-frazer-into-the-blue-lp-coloured-vinyl/0656605162034,0656605162034,26.99,36.99,Aaron Frazer - Into The Blue (LP) (Coloured Vinyl),"LP Coloured Vinyl 1 stuk(s) Introductie: 2024-06-28 Productbeschrijving In 2021 bracht Frazer Introducing… uit, zijn debuut soloalbum met Black Keys-gitarist Dan Auerbach. Nu, zegt Frazer, 'ben ik gespannen om een ​​aantal verwachtingen te blijven doorbreken over wat ik als mens precies zou moeten zijn, artistiek en muzikaal.'Into The Blue is een voortzetting van die geest van onbevreesd, leuk experimenteren.Hoewel Into the Blue uit liefdesverdriet is ontstaan, hoopt Frazer dat het de luisteraars met een gevoel van optimisme achterlaat. 'Weet je, je kunt nog steeds lachen op een dag dat je rouwt', zegt hij, 'er zijn geen pieken zonder dalen', maar Into The Blue zet Aaron Frazer op nieuwe hoogten. Tracklist 1. Thinking Of You - Aaron Frazer 2. Into The Blue - Aaron Frazer 3. Fly Away - Aaron Frazer 4. Payback - Aaron Frazer 5. Dime Feat. Cancamusa - Aaron Frazer 6. Perfect Strangers - Aaron Frazer 7. Time Will Tell - Aaron Frazer 8. I Don't Wanna Stay - Aaron Frazer 9. Play On - Aaron Frazer 10. Easy To Love - Aaron Frazer 11. The Fool - Aaron Frazer",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,ABBA,ABBA Gold,2 LP - Limited Edition - Picture Disc,https://www.dgmoutlet.nl/abba-abba-gold-2-lp-limited-edition-picture-disc/602448229373,602448229373,47.99,57.99,ABBA - ABBA Gold (2 LP) (Limited Edition) (Picture Disc),"LP Picture Disc 2 stuk(s) Introductie: 2022-09-23 Productbeschrijving Speciale dubbel LP 30th Anniversary uitgave van Abba Gold, één van de best verkochte verzamelalbums aller tijden, als picture disc LP. Abba Gold bevat de 19 grootste hits van het Zweedse kwartet, waaronder natuurlijk Dancing Queen, Mamma Mia, Super Trooper, The Winner Takes It All, Waterloo en Thank You For The Music. Tracklist 1 1. Dancing Queen - Abba 2. Knowing Me, Knowing You - Abba 3. Take A Chance On Me - Abba 4. Mamma Mia - Abba 5. Lay All Your Love On Me - Abba 6. Super Trouper - Abba 7. I Have A Dream - Abba 8. The Winner Takes It All - Abba 9. Money, Money, Money - Abba 10. Sos (Album Version) - Abba Tracklist 2 1. Chiquitita - Abba 2. Fernando - Abba 3. Voulez-Vous - Abba 4. Gimme! Gimme! Gimme! (A Man After Midnight) - Abba 5. Does Your Mother Know - Abba 6. One Of Us - Abba 7. The Name Of The Game - Abba 8. Thank You For The Music - Abba 9. Waterloo - Abba",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,ABBA,Voyage,LP - Picture Disc,https://www.dgmoutlet.nl/abba-voyage-lp-picture-disc/0602438690770,0602438690770,24.99,34.99,ABBA - Voyage (LP) (Picture Disc),LP Picture Disc 1 stuk(s) Introductie: 2021-11-05 Productbeschrijving Voyage is een album van ABBA uit 2021 en is uitgebracht onder het label Polar Tracklist 1. I Still Have Faith In You - Abba 2. When You Danced With Me - Abba 3. Little Things - Abba 4. Don't Shut Me Down - Abba 5. Just A Notion - Abba 6. I Can Be That Woman - Abba 7. Keep An Eye On Dan - Abba 8. Bumblebee - Abba 9. No Doubt About It - Abba 10. Ode To Freedom - Abba,2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,Absynthe Minded,Sunday Painter,LP - Coloured Vinyl,https://www.dgmoutlet.nl/absynthe-minded-sunday-painter-lp-coloured-vinyl/0196587299217,0196587299217,24.99,32.99,Absynthe Minded - Sunday Painter (LP) (Coloured Vinyl),"LP Coloured Vinyl 1 stuk(s) Introductie: 2023-09-15 Productbeschrijving Met het nieuwbakken ‘Sunday Painter’ struint Absynthe Minded op een luie zondag uw huis en hoofd binnen. Bert Ostyn en de zijnen leveren wederom een kleurrijke, volwassen langspeler af die met een open blik naar de wijde wereld kijkt. Een sprankelend kleinood, spontaan ontstaan uit intense studiosessies, dat de magische aantrekkingskracht tussen pianist Laurens Dierickx en zondagskind Ostyn perfect omvat. Tel daar de jazzy gitaar van Toon Vlerick, het subtiel drumspel van nieuwe telg Laurens Smagghe en de groovy baspartijen van Sergej Van Bouwel bij, en je weet dat je meer dan gezegend bent. Een flonkerend werkstuk – vanaf 15/09/’23 in volle glorie te ontdekken – scherp en vrolijk, melodieus en meeslepend: Absynthe Minded op het hoogtepunt van hun kunnen! Voorloper ‘Sunday Child’ is alvast de perfecte amuse van dit muzikaal, veelkleurig banket. Uplifting, meeslepend en uitermate aanstekelijk. U weze meteen gewaarschuwd: deze groovy oorwurm kan tot dwangmatig geneurie leiden. Tracklist 1. Jokes And Curses - Absynthe Minded 2. Sunday Child - Absynthe Minded 3. Hot and Cool - Absynthe Minded 4. My Advice - Absynthe Minded 5. In The Shade - Absynthe Minded 6. Cancel Fest - Absynthe Minded 7. Empowerment - Absynthe Minded 8. Natural - Absynthe Minded 9. Existential Garage - Absynthe Minded 10. Epic Fail - Absynthe Minded",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,AC/DC,High Voltage Coloured Vinyl,50th Anniversary Gold Vinyl,https://www.dgmoutlet.nl/ac-dc-high-voltage-50th-anniversary-gold-vinyl-coloured-vinyl/0196588345715,0196588345715,27.99,36.99,AC/DC - High Voltage (50th Anniversary Gold Vinyl) Coloured Vinyl,"LPColoured Vinyl1 stuk(s)Introductie: 2024-03-15AC/DC, de legendarische rock band, speelde hun allereerste show op 31 december 1973 in de Chequers Nightclub in Sydney, Australië. Om AC/DC's 50-jarige heerschappij als 's werelds grootste rock and roll band te eren, kondigen ze met trots aan dat de catalogus van de band verkrijgbaar zal zijn als goudkleurige vinyl LP's. Elk van deze limited edition LP's wordt geleverd met een album-specifieke 12""x12"" print met nieuw AC/DC 50 artwork, ideaal om in te lijsten.Het internationale debuut van de band bevatte nummers van hun eerste twee Australische albums.1. It's a Long Way To the Top2. Rock'n'roll Singer3. The Jack4. Live Wire5. T.N.T.6. Can I Sit Next To You Girl7. Little Lover8. She's Got Balls9. High Voltage",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,AC/DC,"If You Want Blood, You've Got It",50th Anniversary Gold Vinyl - Coloured Vinyl,https://www.dgmoutlet.nl/ac-dc-if-you-want-blood-you-ve-got-it-50th-anniversary-gold-vinyl-coloured-vinyl/0196588733413,0196588733413,28.99,36.99,"AC/DC - If You Want Blood, You've Got It (50th Anniversary Gold Vinyl) (Coloured Vinyl)","LPColoured Vinyl1 stuk(s)Introductie: 2024-06-21AC/DC’s eerste live-album, IF YOU WANT BLOOD YOU’VE GOT IT, werd uitgebracht in de herfst van 1978 en bevat nummers die eerder dat jaar in de Glasgow Apollo in Schotland zijn opgenomen. Het album wordt regelmatig voorgesteld als een van de beste live-opnames van rock-'n-roll.Ter ere van het 50-jarige bewind van AC/DC als ’s werelds grootste rock-’n-rollband, zal de catalogus van de band verkrijgbaar zijn als goudkleurige vinyl-LP’s. Elk van deze LP's in beperkte oplage wordt geleverd met een albumspecifieke print van 30 x 30 cm met nieuw AC/DC 50-artwork, geschikt om in te lijsten.1:Riff raff2:Hell ain't a bad place to be3:Bad boy boogie4:The jack5:Problem child6:Whole lotta rosie7:Rock 'n' roll damnation8:High voltage9:Let there be rock10:Rocker",2026-03-15T11:53:59.989170+00:00
dgmoutlet,1,AC/DC,Live At River Plate 3 Colored Red Vinyl LP,LP,https://www.dgmoutlet.nl/ac-dc-live-at-river-plate-3-colored-red-vinyl-lp/AS887654117519,887654117519,32.99,41.99,AC/DC - Live At River Plate 3 Colored Red Vinyl LP,lp Nieuw in originele sealing. Kaft op de hoek licht verbogen.LP (VINYL) 3 platen Engels november 2012 Verzamelalbum Rood Live At River Plate is een 3LP van AC/DC op rood gekleurd vinyl. Tracklist Plaat 1. Rock 'nN Roll Train 2. Hell Ain't A Bad Place To Be 3. Back In Black 4. Big Jack 5. Dirty Deeds Done Dirt Cheap 6. Shot Down In Flames 7. Thunderstruck 8. Black Ice 9. The Jack 10. Hells Bells 11. Shoot To Thrill 12. War Machine 13. Dog Eat Dog 14. You Shook Me All Night Long 15. T.N.T. 16. Whole Lotta Rosie 17. Let There Be Rock 18. Highway To Hell 19. For Those About To Rock (We Salute You),2026-03-15T11:53:59.989170+00:00
